1.00000	2.16159	0.33043	1.00000	0.49673	0.49100
0.96000	0.52000	0.66667	0.96000	0.78689	0.78011
0.87000	2.98667	0.24615	0.87000	0.38374	0.37467
0.56828	0.80118	0.45000	0.56828	0.50227	0.49222
0.78333	1.20000	0.40000	0.78333	0.52958	0.52642
0.71500	1.66000	0.33333	0.71500	0.45469	0.44437
0.88833	1.95381	0.33043	0.88833	0.48169	0.47238
0.86527	1.08103	0.44800	0.86527	0.59035	0.58673
1.00000	3.53085	0.24324	1.00000	0.39130	0.38241
0.69452	4.07754	0.15000	0.69452	0.24672	0.24267
0.63727	1.97869	0.26087	0.63727	0.37020	0.35834
0.70889	2.15333	0.30000	0.70889	0.42159	0.40907
0.78626	1.08496	0.44286	0.78626	0.56659	0.55925
0.77551	0.97235	0.46061	0.77551	0.57795	0.57039
1.00000	7.00000	0.12500	1.00000	0.22222	0.22182
0.82000	5.15333	0.13750	0.82000	0.23551	0.23360
0.98824	2.18255	0.33810	0.98824	0.50382	0.49559
0.89405	2.80952	0.25098	0.89405	0.39194	0.38784
0.63333	0.70000	0.48000	0.63333	0.54611	0.54265
0.96515	2.36758	0.32308	0.96515	0.48410	0.47218
0.85397	0.87937	0.50000	0.85397	0.63072	0.62715
0.67381	0.36786	0.65714	0.67381	0.66537	0.66268
0.89325	1.56208	0.37391	0.89325	0.52716	0.52190
0.69184	0.29557	0.70000	0.69184	0.69590	0.69312
1.00000	7.41495	0.13220	1.00000	0.23353	0.22811
0.79182	0.78091	0.52000	0.79182	0.62775	0.62147
0.30000	0.00000	1.00000	0.30000	0.46154	0.46095
0.52897	0.26865	0.66667	0.52897	0.58989	0.58726
0.79222	1.25722	0.40000	0.79222	0.53159	0.52622
0.91795	1.75833	0.37600	0.91795	0.53348	0.52361
0.85778	2.62667	0.27755	0.85778	0.41940	0.41023
0.96643	1.84555	0.36774	0.96643	0.53276	0.52521
0.80873	1.30635	0.41538	0.80873	0.54886	0.53974
0.78143	2.06000	0.30769	0.78143	0.44153	0.43305
0.96333	0.27111	0.81818	0.96333	0.88484	0.87391
0.93500	1.43500	0.41111	0.93500	0.57111	0.56324
0.74066	1.50098	0.38182	0.74066	0.50388	0.49409
0.69000	2.07000	0.25000	0.69000	0.36702	0.36408
1.00000	3.25000	0.24706	1.00000	0.39623	0.39080
1.00000	0.40000	0.71429	1.00000	0.83333	0.83288
0.98571	1.05733	0.48800	0.98571	0.65281	0.64994
0.97143	2.34429	0.30000	0.97143	0.45843	0.45467
0.95000	4.30000	0.18400	0.95000	0.30829	0.30409
0.92421	0.33373	0.74000	0.92421	0.82191	0.82027
0.77857	1.03214	0.43077	0.77857	0.55466	0.55249
0.87563	1.48730	0.37895	0.87563	0.52897	0.52418
0.83810	2.56667	0.30000	0.83810	0.44184	0.42960
0.95278	2.10389	0.32381	0.95278	0.48335	0.47825
0.78095	1.18571	0.40000	0.78095	0.52903	0.52618
