../output/v46/reference vs ../output/v46/data/	0.02222	1.21492	0.02222	0.02222	0.02222	0.02000
../output/v22/reference vs ../output/v22/data/	0.22000	0.27333	0.50000	0.22000	0.30556	0.30389
../output/v27/reference vs ../output/v27/data/	0.18274	1.54286	0.12308	0.18274	0.14709	0.13892
../output/v55/reference vs ../output/v55/data/	0.32667	0.86000	0.35000	0.32667	0.33793	0.33353
../output/v31/reference vs ../output/v31/data/	0.18506	0.61379	0.22857	0.18506	0.20453	0.19790
../output/v62/reference vs ../output/v62/data/	0.06667	0.50000	0.10000	0.06667	0.08000	0.07909
../output/v29/reference vs ../output/v29/data/	0.13833	0.33667	0.33333	0.13833	0.19552	0.19065
../output/v23/reference vs ../output/v23/data/	0.04167	0.69976	0.06667	0.04167	0.05128	0.04703
../output/v49/reference vs ../output/v49/data/	0.00000	0.38926	0.00000	0.00000	-1.00000	-0.00200
../output/v32/reference vs ../output/v32/data/	0.22976	0.87234	0.22222	0.22976	0.22593	0.21826
../output/v57/reference vs ../output/v57/data/	0.14913	3.28079	0.04348	0.14913	0.06733	0.06392
../output/v24/reference vs ../output/v24/data/	0.09596	1.15515	0.09091	0.09596	0.09337	0.08789
../output/v56/reference vs ../output/v56/data/	0.07500	1.17722	0.08571	0.07500	0.08000	0.07742
../output/v65/reference vs ../output/v65/data/	0.24913	0.55281	0.30000	0.24913	0.27221	0.26861
../output/v28/reference vs ../output/v28/data/	0.09168	0.43797	0.20000	0.09168	0.12573	0.12225
../output/v37/reference vs ../output/v37/data/	1.00000	1.00000	0.50000	1.00000	0.66667	0.66654
../output/v36/reference vs ../output/v36/data/	0.14000	1.35333	0.10000	0.14000	0.11667	0.11514
../output/v43/reference vs ../output/v43/data/	0.01333	0.21315	0.06667	0.01333	0.02222	0.02122
../output/v64/reference vs ../output/v64/data/	0.38143	2.16024	0.16000	0.38143	0.22544	0.22180
../output/v66/reference vs ../output/v66/data/	0.00000	0.26667	0.00000	0.00000	-1.00000	-0.00145
../output/v41/reference vs ../output/v41/data/	0.20121	1.20879	0.16364	0.20121	0.18049	0.17313
../output/v42/reference vs ../output/v42/data/	0.08889	1.02540	0.08889	0.08889	0.08889	0.08598
../output/v48/reference vs ../output/v48/data/	0.14881	0.44643	0.25000	0.14881	0.18657	0.18495
../output/v59/reference vs ../output/v59/data/	0.00000	0.64052	0.00000	0.00000	-1.00000	-0.00350
../output/v25/reference vs ../output/v25/data/	0.06410	0.34732	0.16000	0.06410	0.09153	0.08791
../output/v21/reference vs ../output/v21/data/	0.36929	2.91111	0.10435	0.36929	0.16272	0.15700
../output/v30/reference vs ../output/v30/data/	0.01818	0.08667	0.20000	0.01818	0.03333	0.03237
../output/v34/reference vs ../output/v34/data/	0.00000	0.00000	-1.00000	0.00000	0.00000	0.00000
../output/v67/reference vs ../output/v67/data/	0.13294	0.39881	0.25000	0.13294	0.17358	0.17160
../output/v69/reference vs ../output/v69/data/	0.12056	0.60278	0.16667	0.12056	0.13991	0.13690
../output/v58/reference vs ../output/v58/data/	0.10577	0.75064	0.15000	0.10577	0.12406	0.12069
../output/v33/reference vs ../output/v33/data/	0.08111	0.55889	0.15556	0.08111	0.10662	0.10335
../output/v38/reference vs ../output/v38/data/	0.18032	0.99890	0.15385	0.18032	0.16603	0.16055
../output/v45/reference vs ../output/v45/data/	0.15794	0.65556	0.20000	0.15794	0.17650	0.17110
../output/v61/reference vs ../output/v61/data/	0.09524	0.56048	0.13333	0.09524	0.11111	0.10521
../output/v44/reference vs ../output/v44/data/	0.02000	0.31667	0.06667	0.02000	0.03077	0.02897
../output/v40/reference vs ../output/v40/data/	0.00000	0.79000	0.00000	0.00000	-1.00000	-0.00231
../output/v35/reference vs ../output/v35/data/	0.24219	1.48999	0.15294	0.24219	0.18748	0.17864
../output/v68/reference vs ../output/v68/data/	0.37000	1.47000	0.20000	0.37000	0.25965	0.25681
../output/v53/reference vs ../output/v53/data/	0.41667	1.33333	0.25714	0.41667	0.31802	0.31226
../output/v47/reference vs ../output/v47/data/	0.04000	0.56000	0.06667	0.04000	0.05000	0.04835
../output/v39/reference vs ../output/v39/data/	0.09601	0.23088	0.30000	0.09601	0.14546	0.14409
../output/v54/reference vs ../output/v54/data/	0.11429	0.79000	0.13333	0.11429	0.12308	0.12115
../output/v70/reference vs ../output/v70/data/	0.24000	1.02000	0.20000	0.24000	0.21818	0.21523
../output/v52/reference vs ../output/v52/data/	0.02500	0.60397	0.04000	0.02500	0.03077	0.02912
../output/v63/reference vs ../output/v63/data/	0.11071	1.00357	0.10000	0.11071	0.10508	0.10206
../output/v60/reference vs ../output/v60/data/	0.29238	0.82690	0.26667	0.29238	0.27893	0.27494
../output/v26/reference vs ../output/v26/data/	0.10595	0.87619	0.14667	0.10595	0.12303	0.11940
../output/v50/reference vs ../output/v50/data/	0.13722	1.17278	0.11111	0.13722	0.12279	0.11994
../output/v51/reference vs ../output/v51/data/	0.05833	0.22262	0.20000	0.05833	0.09032	0.08903
