../output/v46/reference vs ../output/v46/data/	1.00000	1.06190	0.50667	1.00000	0.67257	0.66495
../output/v22/reference vs ../output/v22/data/	0.82000	0.16667	0.85000	0.82000	0.83473	0.82666
../output/v55/reference vs ../output/v55/data/	1.00000	1.96667	0.38000	1.00000	0.55072	0.53859
../output/v31/reference vs ../output/v31/data/	0.42617	0.60093	0.44444	0.42617	0.43511	0.42652
../output/v62/reference vs ../output/v62/data/	0.78333	0.06667	0.93333	0.78333	0.85178	0.84743
../output/v29/reference vs ../output/v29/data/	0.46667	0.64167	0.45714	0.46667	0.46186	0.45064
../output/v23/reference vs ../output/v23/data/	0.62143	1.23214	0.34667	0.62143	0.44506	0.43603
../output/v49/reference vs ../output/v49/data/	0.77409	0.54940	0.58824	0.77409	0.66848	0.66507
../output/v32/reference vs ../output/v32/data/	0.61702	1.70964	0.29474	0.61702	0.39892	0.38841
../output/v57/reference vs ../output/v57/data/	0.64730	5.01952	0.11579	0.64730	0.19644	0.19260
../output/v24/reference vs ../output/v24/data/	0.67616	1.59859	0.32000	0.67616	0.43441	0.42182
../output/v56/reference vs ../output/v56/data/	0.43722	1.53056	0.25455	0.43722	0.32176	0.30718
../output/v65/reference vs ../output/v65/data/	0.40400	0.66526	0.40000	0.40400	0.40199	0.39570
../output/v28/reference vs ../output/v28/data/	0.51623	0.38418	0.58824	0.51623	0.54989	0.54259
../output/v37/reference vs ../output/v37/data/	1.00000	3.00000	0.25000	1.00000	0.40000	0.39972
../output/v36/reference vs ../output/v36/data/	0.82000	2.54000	0.24444	0.82000	0.37662	0.37486
../output/v43/reference vs ../output/v43/data/	0.80433	0.55458	0.62222	0.80433	0.70165	0.68730
../output/v64/reference vs ../output/v64/data/	0.88155	3.18512	0.22500	0.88155	0.35850	0.35441
../output/v66/reference vs ../output/v66/data/	0.44167	0.49167	0.48571	0.44167	0.46264	0.45976
../output/v41/reference vs ../output/v41/data/	0.72212	1.58515	0.35556	0.72212	0.47650	0.46372
../output/v42/reference vs ../output/v42/data/	0.51746	2.20635	0.19091	0.51746	0.27892	0.27486
../output/v48/reference vs ../output/v48/data/	0.50000	0.39286	0.56667	0.50000	0.53125	0.52886
../output/v59/reference vs ../output/v59/data/	0.63013	0.54416	0.54545	0.63013	0.58474	0.57921
../output/v25/reference vs ../output/v25/data/	0.33042	0.41014	0.44444	0.33042	0.37904	0.37510
../output/v21/reference vs ../output/v21/data/	1.00000	4.99030	0.18571	1.00000	0.31325	0.30665
../output/v30/reference vs ../output/v30/data/	0.63394	0.41455	0.62000	0.63394	0.62689	0.62079
../output/v34/reference vs ../output/v34/data/	0.30000	0.00000	1.00000	0.30000	0.46154	0.46095
../output/v67/reference vs ../output/v67/data/	0.13294	0.39881	0.25000	0.13294	0.17358	0.17160
../output/v69/reference vs ../output/v69/data/	0.46389	0.86222	0.36364	0.46389	0.40769	0.40265
../output/v58/reference vs ../output/v58/data/	0.90962	1.12436	0.48421	0.90962	0.63199	0.61919
../output/v33/reference vs ../output/v33/data/	0.63444	1.14333	0.40800	0.63444	0.49663	0.48615
../output/v38/reference vs ../output/v38/data/	0.89391	1.91808	0.33548	0.89391	0.48787	0.48037
../output/v45/reference vs ../output/v45/data/	0.53333	0.60556	0.51429	0.53333	0.52364	0.51374
../output/v61/reference vs ../output/v61/data/	0.78143	0.53000	0.66667	0.78143	0.71950	0.70500
../output/v44/reference vs ../output/v44/data/	0.43889	0.12222	0.84000	0.43889	0.57654	0.57021
../output/v40/reference vs ../output/v40/data/	0.60667	0.71000	0.48000	0.60667	0.53595	0.52749
../output/v35/reference vs ../output/v35/data/	0.83748	1.40415	0.40909	0.83748	0.54968	0.53754
../output/v68/reference vs ../output/v68/data/	0.64000	3.04000	0.17500	0.64000	0.27485	0.27171
../output/v53/reference vs ../output/v53/data/	1.00000	2.00000	0.35000	1.00000	0.51852	0.51178
../output/v47/reference vs ../output/v47/data/	0.80000	0.00000	1.00000	0.80000	0.88889	0.88866
../output/v39/reference vs ../output/v39/data/	0.88861	0.41894	0.68750	0.88861	0.77522	0.77225
../output/v54/reference vs ../output/v54/data/	0.76357	0.74357	0.52000	0.76357	0.61868	0.61410
../output/v70/reference vs ../output/v70/data/	0.37000	1.52000	0.20000	0.37000	0.25965	0.25605
../output/v52/reference vs ../output/v52/data/	0.82421	0.18214	0.82500	0.82421	0.82460	0.82285
../output/v63/reference vs ../output/v63/data/	0.77857	0.89286	0.46667	0.77857	0.58356	0.58153
../output/v60/reference vs ../output/v60/data/	0.85341	1.13643	0.43750	0.85341	0.57846	0.57365
../output/v26/reference vs ../output/v26/data/	0.77024	1.65238	0.38378	0.77024	0.51230	0.49609
../output/v50/reference vs ../output/v50/data/	0.80722	0.93944	0.48333	0.80722	0.60463	0.59784
../output/v51/reference vs ../output/v51/data/	0.33452	0.36786	0.48000	0.33452	0.39427	0.39202
