../output/v46/reference vs ../output/v46/data/	0.28222	1.09238	0.22000	0.28222	0.24726	0.24243
../output/v22/reference vs ../output/v22/data/	0.31000	0.67667	0.35000	0.31000	0.32879	0.32651
../output/v27/reference vs ../output/v27/data/	0.32857	1.39702	0.21538	0.32857	0.26020	0.25031
../output/v55/reference vs ../output/v55/data/	0.13000	1.05667	0.15000	0.13000	0.13929	0.13704
../output/v31/reference vs ../output/v31/data/	0.37721	0.87813	0.29091	0.37721	0.32849	0.31869
../output/v62/reference vs ../output/v62/data/	0.31667	0.81667	0.30000	0.31667	0.30811	0.30616
../output/v29/reference vs ../output/v29/data/	0.40833	1.01667	0.31111	0.40833	0.35315	0.34285
../output/v23/reference vs ../output/v23/data/	0.66976	1.18381	0.37333	0.66976	0.47943	0.46898
../output/v49/reference vs ../output/v49/data/	0.47303	0.53904	0.47692	0.47303	0.47497	0.47170
../output/v32/reference vs ../output/v32/data/	0.58749	0.75952	0.45455	0.58749	0.51254	0.49753
../output/v57/reference vs ../output/v57/data/	0.27937	1.06278	0.24444	0.27937	0.26074	0.25804
../output/v24/reference vs ../output/v24/data/	0.59212	0.65899	0.54545	0.59212	0.56783	0.55659
../output/v56/reference vs ../output/v56/data/	0.33167	1.09944	0.32500	0.33167	0.32830	0.32445
../output/v65/reference vs ../output/v65/data/	0.52727	0.94297	0.38182	0.52727	0.44291	0.43581
../output/v28/reference vs ../output/v28/data/	0.43923	0.56712	0.46316	0.43923	0.45088	0.44381
../output/v37/reference vs ../output/v37/data/	0.00000	5.00000	0.00000	0.00000	-1.00000	-0.00049
../output/v36/reference vs ../output/v36/data/	0.15333	1.90000	0.07273	0.15333	0.09866	0.09698
../output/v43/reference vs ../output/v43/data/	0.50310	0.70481	0.46250	0.50310	0.48195	0.47399
../output/v64/reference vs ../output/v64/data/	0.32214	0.76714	0.30667	0.32214	0.31421	0.31033
../output/v66/reference vs ../output/v66/data/	0.61667	0.58333	0.53333	0.61667	0.57198	0.56940
../output/v41/reference vs ../output/v41/data/	0.30242	0.97939	0.28000	0.30242	0.29078	0.28167
../output/v42/reference vs ../output/v42/data/	0.43175	0.43492	0.51429	0.43175	0.46942	0.46637
../output/v48/reference vs ../output/v48/data/	0.28810	0.75357	0.28571	0.28810	0.28690	0.28498
../output/v59/reference vs ../output/v59/data/	0.57662	0.70442	0.46667	0.57662	0.51585	0.51132
../output/v25/reference vs ../output/v25/data/	0.30839	0.51445	0.38000	0.30839	0.34047	0.33610
../output/v21/reference vs ../output/v21/data/	0.30788	1.83152	0.16000	0.30788	0.21057	0.20375
../output/v30/reference vs ../output/v30/data/	0.18970	0.64909	0.22500	0.18970	0.20585	0.20046
../output/v34/reference vs ../output/v34/data/	0.22000	0.68000	0.24444	0.22000	0.23158	0.22984
../output/v67/reference vs ../output/v67/data/	0.32302	0.60754	0.34286	0.32302	0.33264	0.33011
../output/v69/reference vs ../output/v69/data/	0.36111	0.72389	0.33333	0.36111	0.34667	0.34184
../output/v58/reference vs ../output/v58/data/	0.50385	0.88782	0.41538	0.50385	0.45536	0.44732
../output/v33/reference vs ../output/v33/data/	0.48528	0.93694	0.38000	0.48528	0.42623	0.41448
../output/v38/reference vs ../output/v38/data/	0.35744	0.91249	0.30000	0.35744	0.32621	0.32059
../output/v45/reference vs ../output/v45/data/	0.42460	0.71429	0.37143	0.42460	0.39624	0.38540
../output/v61/reference vs ../output/v61/data/	0.44905	1.08095	0.34286	0.44905	0.38883	0.38306
../output/v44/reference vs ../output/v44/data/	0.27111	0.96333	0.23636	0.27111	0.25255	0.24546
../output/v40/reference vs ../output/v40/data/	0.17000	1.54167	0.12308	0.17000	0.14278	0.13963
../output/v35/reference vs ../output/v35/data/	0.72576	0.39505	0.69091	0.72576	0.70791	0.68892
../output/v68/reference vs ../output/v68/data/	0.41000	0.51000	0.45000	0.41000	0.42907	0.42655
../output/v53/reference vs ../output/v53/data/	0.10000	1.15000	0.08000	0.10000	0.08889	0.08670
../output/v47/reference vs ../output/v47/data/	0.44000	0.56000	0.44000	0.44000	0.44000	0.43870
../output/v39/reference vs ../output/v39/data/	0.36736	0.53158	0.41818	0.36736	0.39113	0.38835
../output/v54/reference vs ../output/v54/data/	0.22929	0.82571	0.22857	0.22929	0.22893	0.22579
../output/v70/reference vs ../output/v70/data/	0.41000	0.64000	0.40000	0.41000	0.40494	0.40238
../output/v52/reference vs ../output/v52/data/	0.39048	0.61587	0.40000	0.39048	0.39518	0.39318
../output/v63/reference vs ../output/v63/data/	0.58571	0.66786	0.46667	0.58571	0.51946	0.51745
../output/v60/reference vs ../output/v60/data/	0.62103	0.74698	0.45455	0.62103	0.52490	0.52045
../output/v26/reference vs ../output/v26/data/	0.31667	0.79643	0.34118	0.31667	0.32846	0.31634
../output/v50/reference vs ../output/v50/data/	0.15556	1.00889	0.15000	0.15556	0.15273	0.15079
../output/v51/reference vs ../output/v51/data/	0.55714	0.56667	0.50000	0.55714	0.52703	0.52449
