0.0	0.8	0.25	30	3
0.0	0.98	0.25	30	3
0.02	0.98	0.25	30	3
0.04	0.98	0.25	30	3
0.06	0.98	0.25	30	3
0.08	0.98	0.25	30	3
0.1	0.98	0.25	30	3
0.12	0.98	0.25	30	3
0.14	0.98	0.25	30	3
0.16	0.98	0.25	30	3
0.18	0.98	0.25	30	3
0.2	0.98	0.25	30	3
0.22	0.98	0.25	30	3
0.24	0.98	0.25	30	3
0.26	0.98	0.25	30	3
0.28	0.98	0.25	30	3
0.3	0.98	0.25	30	3
0.32	0.98	0.25	30	3
0.34	0.98	0.25	30	3
0.36	0.98	0.25	30	3
0.38	0.98	0.25	30	3
0.4	0.98	0.25	30	3
0.42	0.98	0.25	30	3
0.44	0.98	0.25	30	3
0.46	0.98	0.25	30	3
0.48	0.98	0.25	30	3
0.5	0.98	0.25	30	3
0.52	0.98	0.25	30	3
0.54	0.98	0.25	30	3
0.56	0.98	0.25	30	3
0.58	0.98	0.25	30	3
0.6	0.98	0.25	30	3
0.62	0.98	0.25	30	3
0.64	0.98	0.25	30	3
0.66	0.98	0.25	30	3
0.68	0.98	0.25	30	3
0.7	0.98	0.25	30	3
0.72	0.98	0.25	30	3
0.74	0.98	0.25	30	3
0.76	0.98	0.25	30	3
0.78	0.98	0.25	30	3
0.8	0.98	0.25	30	3
0.82	0.98	0.25	30	3
0.84	0.98	0.25	30	3
0.86	0.98	0.25	30	3
0.88	0.98	0.25	30	3
0.9	0.98	0.25	30	3
0.92	0.98	0.25	30	3
0.94	0.98	0.25	30	3
0.96	0.98	0.25	30	3
0.98	0.98	0.25	30	3
